WWTR1	"mirin,0.97537"	"ABT-751,0.96694"	"VU-0418934-2,0.95545"	"CYT-997,0.9551"	"MLN-4924,0.95036"	"nocodazole,0.94986"	"BRD-K66884694,0.94704"	"isoliquiritigenin,0.94438"	"MD-049,0.94428"	"alvespimycin,0.92944"	"mebendazole,0.92863"	"enzastaurin,0.92481"	"PKCbeta-inhibitor,0.92471"	"fluoropyruvate,0.92342"	"ST-056792,0.9223"	"chlorambucil,0.92193"	"BRD-K44366801,0.92044"	"BRD-K52321331,0.91657"	"BRD-A27640568,0.91505"	"cyclopiazonic-acid,0.90981"
ISX	"thiothixene,0.98582"	"niguldipine,0.9613"	"mibefradil,0.95919"	"wortmannin,0.95883"	"BRD-K68548958,0.94733"	"7b-cis,0.94688"	"T-98475,0.94628"	"bithionol,0.94345"	"BRD-K08307026,0.94318"	"VU-0410183-2,0.94105"	"reserpine,0.93584"	"ivermectin,0.93501"	"GR-127935,0.93438"	"FCCP,0.93062"	"cyclosporin-a,0.92759"	"JW-7-24-1,0.92689"	"NNC-05-2090,0.92618"	"RS-17053,0.92579"	"BRD-K05520923,0.92554"	"THM-I-94,0.92344"
HNF4A	"15-delta-prostaglandin-j2,0.97217"	"NSC-3852,0.96656"	"ingenol,0.9644"	"prostratin,0.95899"	"cucurbitacin-i,0.95647"	"phorbol-12-myristate-13-acetate,0.95526"	"bortezomib,0.9526"	"ST-056792,0.94658"	"BRD-A93942655,0.94368"	"trichostatin-a,0.94008"	"7b-cis,0.93979"	"penfluridol,0.9396"	"BRD-K92317137,0.9374"	"EMF-sumo1-11,0.93529"	"BRD-K21064560,0.9332"	"BRD-K06765193,0.93319"	"cerulenin,0.93145"	"CGP-71683,0.93027"	"AG-957,0.92723"	"BRD-A37735495,0.92719"
HEY1	"trichostatin-a,0.95623"	"THM-I-94,0.95331"	"HC-toxin,0.9447"	"scriptaid,0.94362"	"trichostatin-a,0.94018"	"15-delta-prostaglandin-j2,0.93549"	"panobinostat,0.92713"	"vorinostat,0.91531"	"amsacrine,0.9133"	"merck-ketone,0.91212"	"SN-38,0.90789"	"NVP-AUY922,0.90387"	"belinostat,0.90344"	"BRD-K66884694,0.9033"	"7b-cis,0.90301"	"dacinostat,0.90205"	"U0126,0.89981"	"BRD-K30351863,0.89824"	"geldanamycin,0.89426"	"BRD-K75081836,0.89276"
FOXP3	"KUC111774N,0.95905"	"BRD-K55896799,0.91034"	"STK-249718,0.88723"	"JAK3-inhibitor-VI,0.87647"	"RO-3306,0.86238"	"angiogenesis-inhibitor,0.86017"	"RLM-2-12,0.85124"	"trimidox,0.85055"	"hydrocortisone,0.84995"	"BRD-K24346336,0.8437"	"trichostatin-a,0.8432"	"methoxsalen,0.83329"	"cucurbitacin-i,0.83303"	"A-443644,0.83236"	"JNK-9L,0.82555"	"L-690330,0.82375"	"alvespimycin,0.81089"	"COL-3,0.8055"	"JNJ-7706621,0.8039"	"tretinoin,0.80231"
FOS	"phorbol-12-myristate-13-acetate,0.95431"	"oxetane,0.93864"	"ST-4029573,0.93848"	"nocodazole,0.93508"	"avicin-g,0.92786"	"cymarin,0.92724"	"MLN-4924,0.92226"	"ingenol,0.92209"	"ouabain,0.92052"	"cucurbitacin-i,0.91842"	"NPI-2358,0.91773"	"gemcitabine,0.91553"	"calcitriol,0.91501"	"MD-049,0.91338"	"TW-37,0.91254"	"BNTX,0.90652"	"prostratin,0.90616"	"homoharringtonine,0.90441"	"YM-155,0.90334"	"CT-200783,0.90115"
FGR	"ingenol,0.97591"	"oxetane,0.93904"	"prostratin,0.93844"	"BRD-K71935468,0.93835"	"I-606051,0.91669"	"AG-957,0.91337"	"SU-11652,0.90462"	"BRD-K61718261,0.90007"	"BRD-K05331696,0.89965"	"perhexiline,0.89949"	"importazole,0.89472"	"BRD-A68065211,0.89119"	"K784-3187,0.88919"	"BRD-K55487965,0.88023"	"BRD-K92317137,0.87957"	"MLN-4924,0.87943"	"cucurbitacin-i,0.87936"	"CGP-71683,0.87639"	"chaetocin,0.87434"	"manumycin-a,0.87204"
FBXO5	"mesalazine,0.92173"	"camptothecin,0.91676"	"BIBU-1361,0.89281"	"prostratin,0.88565"	"diclofenac,0.88476"	"BRD-K92317137,0.87396"	"BO2-inhibits-RAD51,0.86716"	"RS-17053,0.85904"	"phorbol-12-myristate-13-acetate,0.85452"	"tacrolimus,0.85418"	"importazole,0.85356"	"doxorubicin,0.85179"	"ouabain,0.85015"	"NCH-51,0.84616"	"midostaurin,0.84075"	"TUL-XX023,0.84061"	"dacinostat,0.83369"	"cytochalasin-d,0.82882"	"NNC-55-0396,0.82733"	"berbamine,0.82687"
ETS2	"pyrimethamine,0.8833"	"wortmannin,0.85001"	"MK-2206,0.82557"	"sulforaphane,0.82394"	"LFM-A13,0.81392"	"KM-00927,0.79583"	"SU-1498,0.78717"	"15-delta-prostaglandin-j2,0.78485"	"BRD-A82913781,0.76489"	"PP-1,0.76464"	"ML-7,0.75404"	"JWE-035,0.75365"	"ivachtin,0.75354"	"BRD-K70693222,0.75243"	"fostamatinib,0.7461"	"TG-101348,0.74352"	"cladribine,0.74226"	"trichostatin-a,0.7404"	"PP-30,0.73832"	"ZM-306416,0.73632"
EBF1	"BRD-K55116708,0.97324"	"dacinostat,0.97186"	"belinostat,0.97071"	"midostaurin,0.96925"	"trichostatin-a,0.95873"	"THM-I-94,0.95447"	"staurosporine,0.95321"	"merck-ketone,0.95037"	"BRD-K58288048,0.94988"	"BRD-K48950795,0.94869"	"SU-11652,0.94689"	"NCH-51,0.94611"	"VU-0418946-1,0.94604"	"VU-0418947-2,0.94076"	"BRD-K68548958,0.93853"	"BRD-K78385490,0.93743"	"apicidin,0.93733"	"vorinostat,0.9346"	"selamectin,0.93452"	"PI-828,0.93258"
CCND1	"sulforaphane,0.86417"	"pindolol,0.84042"	"avicin-d,0.84019"	"BRD-K05331696,0.83716"	"bortezomib,0.82613"	"BRD-K51608872,0.81753"	"afatinib,0.80619"	"chaetocin,0.80531"	"parthenolide,0.79614"	"BIIB021,0.78604"	"BRD-K06765193,0.77807"	"MW-A1-12,0.77778"	"BRD-A26595446,0.7757"	"PU-H71,0.76746"	"BI-78D3,0.7649"	"BRD-K34711351,0.76419"	"BRD-K88278225,0.76334"	"oxybenzone,0.75498"	"withaferin-a,0.75261"	"15-delta-prostaglandin-j2,0.75146"
CARD9	"valdecoxib,0.96597"	"palbociclib,0.96315"	"mepireserpate,0.94969"	"PAC-1,0.94363"	"gemcitabine,0.92636"	"BRD-A58924247,0.9139"	"pepstatin,0.91002"	"BRD-K80786583,0.90902"	"BRD-K90999434,0.90348"	"TW-37,0.89888"	"cytosporone-b,0.89865"	"phorbol-12-myristate-13-acetate,0.89779"	"BI-78D3,0.88628"	"BRD-K68313733,0.87912"	"BRD-K49094915,0.87858"	"GW-3965,0.87393"	"BRD-K62818989,0.8643"	"ST-4062971,0.85624"	"16,16-dimethylprostaglandin-e2,0.85481"	"BRD-K67774729,0.85256"
BRP44	"PD-198306,0.83712"	"AS-605240,0.81613"	"sorafenib,0.76385"	"nilotinib,0.7223"	"selumetinib,0.71724"	"pindolol,0.70587"	"telmisartan,0.70427"	"BRD-K64366758,0.66942"	"RS-23597-190,0.66858"	"gossypol,0.6461"	"curcumin,0.64263"	"forskolin,0.63825"	"ingenol,0.63814"	"CI-976,0.63485"	"BRD-K36772364,0.63065"	"BRD-A09984573,0.62854"	"BRD-K58618158,0.60883"	"BRD-K80786583,0.60778"	"tozasertib,0.60746"	"BRD-K18163752,0.59156"
BCL2L1	"gliquidone,0.93809"	"CI-976,0.87119"	"BRD-K04779531,0.84854"	"MBCQ,0.79068"	"periplocymarin,0.78021"	"AMG-9810,0.77276"	"BRD-K62818989,0.76589"	"PD-0325901,0.75382"	"ouabain,0.74694"	"enzalutamide,0.73992"	"EX-527,0.71522"	"BRD-K96167523,0.69502"	"alda-1,0.69465"	"BRD-K05326558,0.679"	"chlortalidone,0.6684"	"rucaparib,0.6667"	"BRD-K89009594,0.66546"	"STK-222600,0.65617"	"BRD-K48974000,0.65253"	"BRD-K41652870,0.64037"
ACD	"CAY-10577,0.9207"	"15-delta-prostaglandin-j2,0.85654"	"genistein,0.85388"	"BRD-K53472085,0.84938"	"gemcitabine,0.84602"	"tretinoin,0.8231"	"BRD-K19624190,0.80627"	"apigenin,0.79911"	"telmisartan,0.79628"	"16,16-dimethylprostaglandin-e2,0.79075"	"BRD-K83493571,0.78027"	"SB-216763,0.77201"	"EI-247,0.76632"	"BRD-K88707333,0.76518"	"bortezomib,0.7618"	"7b-cis,0.74628"	"PK-11195,0.741"	"TW-37,0.74064"	"selumetinib,0.73982"	"elesclomol,0.73733"
ADORA2B	"NVP-AUY922,0.86399"	"tyrphostin-AG-1478,0.85557"	"piperlongumine,0.852"	"arachidonyl-trifluoro-methane,0.83074"	"PK-11195,0.82976"	"geldanamycin,0.82319"	"BRD-K62466453,0.82256"	"BRD-K89692698,0.81351"	"BRD-K61718261,0.80694"	"TPCA-1,0.79818"	"midostaurin,0.79763"	"BRD-K06405410,0.77893"	"dasatinib,0.76939"	"sirolimus,0.76365"	"bortezomib,0.75414"	"AG-957,0.74352"	"MLN-2238,0.73873"	"NNC-55-0396,0.73727"	"HSP90-inhibitor,0.72718"	"BRD-K31706415,0.72599"
BAD	"oxetane,0.95113"	"SB-218078,0.90222"	"avicin-d,0.90081"	"cephaeline,0.82381"	"MW-A1-12,0.82101"	"rotenone,0.81704"	"tretinoin,0.80673"	"narciclasine,0.80406"	"tert-butylhydroquinone,0.79984"	"pifithrin-alpha,0.79709"	"avicin-g,0.79664"	"BRD-K68548958,0.78987"	"KI-8751,0.7882"	"KUC111774N,0.78731"	"ST-4029573,0.78105"	"cycloheximide,0.77543"	"vincristine,0.76396"	"COL-3,0.75344"	"nifedipine,0.75029"	"vinblastine,0.74604"
CD40	"prostratin,0.99419"	"ingenol,0.99343"	"perhexiline,0.98662"	"tosedostat,0.97993"	"CD-437,0.97945"	"cercosporin,0.97844"	"cytochalasin-d,0.97707"	"BRD-K05153001,0.97662"	"JW-7-24-1,0.97513"	"phorbol-12-myristate-13-acetate,0.97438"	"suloctidil,0.97329"	"BRD-K28916077,0.97185"	"BVT-948,0.97047"	"VU-0418939-2,0.97025"	"BRD-A09719808,0.96725"	"BRD-K80786583,0.96635"	"BRD-K78385490,0.96565"	"QL-XII-47,0.96547"	"BX-795,0.96467"	"amsacrine,0.96451"
CDKN1B	"purvalanol-a,0.98022"	"BRD-K78385490,0.97187"	"7b-cis,0.97052"	"BMS-754807,0.96013"	"CD-437,0.95968"	"aminopurvalanol-a,0.95691"	"phorbol-12-myristate-13-acetate,0.95651"	"BRD-K73008154,0.95411"	"BX-795,0.95388"	"oxetane,0.95148"	"GR-127935,0.94854"	"BRD-A47816767,0.94368"	"teniposide,0.94136"	"SA-792987,0.94023"	"SN-38,0.94018"	"BRD-A37735495,0.9351"	"BRD-K81795824,0.93461"	"BRD-K60870698,0.93401"	"BRD-K03829970,0.93143"	"idarubicin,0.92993"
CREB3	"terfenadine,0.95725"	"lasalocid,0.92501"	"brefeldin-a,0.91235"	"vanoxerine,0.90839"	"RO-28-1675,0.89938"	"erastin,0.88214"	"cyclosporin-a,0.87347"	"BRD-K83213280,0.86952"	"hyperforin,0.85485"	"brefeldin-a,0.84963"	"BRD-K88622704,0.84493"	"BRD-K66037923,0.8438"	"BRD-K68588778,0.83857"	"CGP-71683,0.83785"	"perphenazine,0.83762"	"atorvastatin,0.83498"	"BRD-K27484191,0.83159"	"VU-0418934-2,0.82004"	"BRD-K42867405,0.81684"	"BMS-754807,0.80711"
CTBP2	"BO2-inhibits-RAD51,0.95299"	"BRD-U86222656,0.93168"	"BRD-K78062244,0.91252"	"BRD-A18411371,0.90211"	"BRD-A18725729,0.89645"	"BRD-K00910650,0.8905"	"resveratrol,0.87657"	"BRD-K23149109,0.86336"	"BMY-45778,0.84484"	"THM-I-94,0.83569"	"cymarin,0.83366"	"isoliquiritigenin,0.83025"	"K784-3188,0.82686"	"cerulenin,0.82646"	"neratinib,0.8254"	"VU-0410183-2,0.82382"	"GW-405833,0.82309"	"K784-3187,0.81888"	"K784-3131,0.81138"	"T-98475,0.80969"
CTSK	"amsacrine,0.89515"	"CD-437,0.86931"	"BRD-K92317137,0.86592"	"BRD-K78385490,0.85567"	"BRD-U86222656,0.84081"	"quiflapon,0.84023"	"BRD-K27169919,0.82825"	"cucurbitacin-i,0.82402"	"BRD-K77480336,0.82383"	"teniposide,0.81436"	"pyrvinium-pamoate,0.81349"	"tyrphostin-AG-1478,0.80936"	"vinblastine,0.80403"	"KU-C104337,0.7937"	"tosedostat,0.79369"	"KUC111774N,0.78595"	"NNC-55-0396,0.78571"	"methylene-blue,0.7764"	"BRD-K58479490,0.77562"	"KI-8751,0.77421"
CXCL1	"olomoucine,0.88349"	"hydrocortisone,0.83265"	"BMS-299897,0.83166"	"BRD-K06765193,0.82957"	"cymarin,0.8256"	"cortisone,0.80762"	"BRD-K85275009,0.80705"	"STK-249718,0.79552"	"gemcitabine,0.77229"	"digitoxigenin,0.76861"	"cercosporin,0.76508"	"vincristine,0.76374"	"homoharringtonine,0.75481"	"salermide,0.75213"	"DG-041,0.75024"	"ouabain,0.74545"	"periplocymarin,0.74282"	"curcumin,0.7413"	"cinobufagin,0.7411"	"NSC-632839,0.73999"
DLX3	"THM-I-94,0.96958"	"trichostatin-a,0.96142"	"vorinostat,0.94535"	"malonoben,0.94522"	"scriptaid,0.92818"	"trichostatin-a,0.92798"	"anisomycin,0.92679"	"BRD-K05153001,0.92647"	"resveratrol,0.92352"	"BRD-K03829970,0.9196"	"tyrphostin-AG-1478,0.91782"	"PD-198306,0.91692"	"BRD-A11087911,0.91489"	"kinetin-riboside,0.91418"	"15-delta-prostaglandin-j2,0.91368"	"BI-2536,0.91017"	"KU-0060648,0.90974"	"selamectin,0.90932"	"BRD-K95196255,0.90782"	"BRD-K10361096,0.9077"
DNAJB2	"BRD-K59019422,0.73716"	"BRD-K78062244,0.69338"	"BRD-K89224880,0.68783"	"PD-102807,0.68761"	"chlortalidone,0.68545"	"BRD-K97534490,0.68341"	"BRD-K92317137,0.67665"	"selumetinib,0.65909"	"geldanamycin,0.65449"	"PD-98059,0.64729"	"erastin,0.64516"	"M-3M3FBS,0.63951"	"BIIB021,0.63571"	"loperamide,0.63344"	"diclofenac,0.62299"	"clemastine,0.61683"	"puromycin,0.61651"	"gossypol,0.60199"	"BRD-K19499941,0.60082"	"BRD-K03829970,0.59918"
DUSP4	"AS-605240,0.98563"	"selumetinib,0.98462"	"MEK1-2-inhibitor,0.97706"	"U0126,0.97588"	"PD-0325901,0.97402"	"PD-0325901,0.96903"	"PD-184352,0.94984"	"fludroxycortide,0.94439"	"ERK-inhibitor-11E,0.94377"	"AZ-628,0.91599"	"PD-198306,0.9088"	"JTE-907,0.90448"	"WT-171,0.90431"	"PD-98059,0.90248"	"ZM-306416,0.90157"	"iodophenpropit,0.9012"	"U-0126,0.8939"	"doxorubicin,0.89155"	"HC-toxin,0.88732"	"trichostatin-a,0.88386"
DUSP6	"selumetinib,0.99853"	"AS-605240,0.99126"	"U-0126,0.98026"	"PD-0325901,0.97318"	"BMS-536924,0.96698"	"PP-110,0.96631"	"PD-184352,0.96449"	"AZ-628,0.95751"	"curcumin,0.94025"	"fostamatinib,0.93911"	"5-iodotubercidin,0.93349"	"tivozanib,0.92752"	"staurosporine,0.92278"	"K784-3188,0.91222"	"staurosporine,0.9099"	"PD-198306,0.90731"	"MEK1-2-inhibitor,0.90612"	"triptolide,0.90313"	"PD-0325901,0.90277"	"L-690488,0.89821"
EHF	"MLN-4924,0.93365"	"JLK-6,0.92817"	"cyclosporin-a,0.92732"	"SA-792709,0.91565"	"NSC-3852,0.91542"	"UK-356618,0.915"	"GDC-0879,0.91032"	"MST-312,0.90777"	"tenidap,0.89858"	"NCH-51,0.89038"	"BRD-K21064560,0.88709"	"JAK3-inhibitor-VI,0.8837"	"APHA-compound-8,0.88287"	"sorafenib,0.87909"	"ellipticine,0.87794"	"15-delta-prostaglandin-j2,0.8765"	"BRD-K42489623,0.87299"	"BRD-A43126523,0.86547"	"BRD-K60870698,0.86231"	"BRD-K45205755,0.86168"
