UNG	"carbetocin,0.95979"	"glibenclamide,0.95756"	"NF-449,0.94434"	"PD-158780,0.94188"	"ARG-CSC-91,0.94019"	"alda-1,0.93482"	"7-nitroindazole,0.93206"	"RS-I-002-6,0.91642"	"ivachtin,0.91352"	"BRD-K56196992,0.90973"	"oligomycin-a,0.9073"	"curcumin,0.9073"	"JTE-907,0.90582"	"CI-976,0.90531"	"IRL-2500,0.9025"	"PD-98059,0.90077"	"CHEMBL-1222381,0.89955"	"BRD-A09984573,0.89755"	"BRD-K76236182,0.89405"	"ASN-05257430,0.89339"
USP22	"oxetane,0.98702"	"avicin-g,0.98487"	"avicin-d,0.97441"	"BRD-K06765193,0.96074"	"CD-1530,0.96038"	"mocetinostat,0.9586"	"KUC111774N,0.95396"	"5-iodotubercidin,0.95097"	"BRD-K62459624,0.94918"	"ST-4029573,0.94367"	"MD-II-008-P,0.94273"	"MD-041,0.94182"	"pirarubicin,0.93906"	"wortmannin,0.93717"	"cytochalasin-b,0.93461"	"staurosporine,0.93404"	"BRD-A37735495,0.93258"	"K784-3131,0.93196"	"NCH-51,0.93087"	"AKT-inhibitor-IV,0.92928"
USP32	"5-iodotubercidin,0.98283"	"BRD-K89692698,0.97127"	"mocetinostat,0.9602"	"staurosporine,0.95811"	"CGP-60474,0.9558"	"CHEMBL-1222381,0.9506"	"dacinostat,0.93538"	"BRD-K26304855,0.93488"	"MK-2206,0.93355"	"temsirolimus,0.92992"	"BRD-K83670234,0.92964"	"JNJ-7706621,0.92875"	"pizotifen,0.92768"	"wortmannin,0.9262"	"STK-249718,0.92576"	"BRD-K55116708,0.92388"	"THM-I-94,0.92208"	"belinostat,0.9209"	"ellipticine,0.92034"	"NCH-51,0.91928"
USP47	"SQ-22536,0.93831"	"palbociclib,0.92207"	"SA-423131,0.92056"	"phorbol-12-myristate-13-acetate,0.91726"	"tretinoin,0.91687"	"TW-37,0.90454"	"prostratin,0.90249"	"BRD-K31688005,0.90153"	"THM-I-94,0.89963"	"D-64406,0.89408"	"trichostatin-a,0.89109"	"BRD-K55116708,0.88706"	"tigecycline,0.88674"	"gemcitabine,0.87891"	"chaetocin,0.87663"	"cyclopiazonic-acid,0.8715"	"BRD-K23149109,0.87112"	"SA-792987,0.86938"	"tubastatin-a,0.86761"	"BRD-K70161581,0.86731"
USP6NL	"NSC-3852,0.93672"	"cucurbitacin-i,0.92299"	"BRD-K06765193,0.92253"	"KUC111774N,0.92062"	"bortezomib,0.9194"	"BRD-K92317137,0.91789"	"BRD-K19166598,0.91586"	"CD-437,0.91583"	"AG-957,0.91554"	"ouabain,0.91061"	"MK-1775,0.90895"	"BRD-A43155244,0.90792"	"F-1566-0341,0.9016"	"BRD-K87726525,0.88881"	"SID-26681509,0.88569"	"BRD-K66037923,0.88195"	"gemcitabine,0.88044"	"SSR-69071,0.87725"	"QL-XII-47,0.87303"	"BRD-K68548958,0.87035"
USP7	"staurosporine,0.97012"	"pirarubicin,0.9659"	"amodiaquine,0.96146"	"amsacrine,0.95752"	"staurosporine,0.95743"	"5-iodotubercidin,0.9546"	"camptothecin,0.95159"	"avicin-g,0.95047"	"etoposide,0.94112"	"avicin-d,0.9401"	"BRD-K68313733,0.9386"	"BRD-K62459624,0.9377"	"KUC111774N,0.93614"	"oxetane,0.93557"	"purvalanol-a,0.9337"	"JNJ-7706621,0.93348"	"CD-1530,0.93304"	"K784-3188,0.93291"	"SU-11652,0.92861"	"tacrolimus,0.92414"
UTP14A	"BRD-K90999434,0.97383"	"PAC-1,0.95421"	"olaparib,0.94945"	"10-DEBC,0.92264"	"sirolimus,0.91659"	"BX-795,0.90049"	"L-690330,0.88259"	"selumetinib,0.88153"	"fostamatinib,0.86807"	"amylocaine,0.86511"	"RO-3306,0.86447"	"L-690488,0.8583"	"BRD-K42687792,0.855"	"mosapride,0.85125"	"triciribine,0.84567"	"MK-2206,0.84439"	"KU-0063794,0.84291"	"BMS-754807,0.84085"	"tamoxifen,0.83595"	"saracatinib,0.82776"
UTP18	"cycloheximide,0.957"	"emetine,0.93627"	"anisomycin,0.93424"	"rottlerin,0.93388"	"sorafenib,0.91021"	"sorafenib,0.91007"	"AG-879,0.90308"	"NVP-BEZ235,0.90166"	"cytochalasin-b,0.89962"	"cephaeline,0.89698"	"YM-155,0.89639"	"cycloheximide,0.8936"	"mepacrine,0.89179"	"IKK-2-inhibitor-V,0.88973"	"niclosamide,0.8864"	"AZD-8055,0.88414"	"QL-X-138,0.88156"	"emetine,0.88006"	"PI-103,0.8739"	"BRD-K28934562,0.87345"
UTS2R	"brefeldin-a,0.96861"	"SA-792728,0.95801"	"BRD-K85266146,0.95791"	"CGK-733,0.94662"	"BRD-K08448573,0.94232"	"BRD-K62970326,0.93761"	"niclosamide,0.9343"	"CA-074-Me,0.93299"	"BRD-K18163752,0.93075"	"BRD-K60870698,0.92965"	"tyrphostin-A9,0.92654"	"MLN-2238,0.9263"	"VU-0418933-1,0.9226"	"phorbol-12-myristate-13-acetate,0.91994"	"PNU-74654,0.9156"	"FCCP,0.91487"	"EI-346-erlotinib-analog,0.91472"	"alvespimycin,0.91218"	"VU-0418946-1,0.91173"	"prostratin,0.91129"
UVRAG	"BRD-K73008154,0.97993"	"BRD-K77547920,0.9773"	"DG-041,0.96524"	"CD-437,0.96367"	"rhodomyrtoxin-b,0.9627"	"BRD-K31706415,0.95589"	"7b-cis,0.95157"	"BRD-K78385490,0.94961"	"lasalocid,0.9496"	"BRD-K28934562,0.94814"	"valdecoxib,0.94701"	"triciribine,0.94212"	"thapsigargin,0.93721"	"BRD-K28366633,0.93714"	"avrainvillamide-analog-4,0.93681"	"CGS-15943,0.93556"	"BRD-K82732294,0.93232"	"BRD-A68065211,0.93176"	"cucurbitacin-i,0.93012"	"AG-879,0.92964"
UXT	"isoliquiritigenin,0.91013"	"everolimus,0.9081"	"oxetane,0.90778"	"NVP-TAE684,0.89676"	"selamectin,0.8857"	"COT-10b,0.88411"	"cymarin,0.87597"	"avicin-d,0.87462"	"mevastatin,0.87295"	"lylamine,0.86882"	"trichostatin-a,0.86665"	"HC-toxin,0.86445"	"digitoxin,0.86321"	"benperidol,0.86286"	"AZD-7762,0.86131"	"BRD-K62459624,0.85877"	"gemcitabine,0.85094"	"proscillaridin,0.84941"	"evodiamine,0.8489"	"amsacrine,0.84639"
VAMP3	"BRD-K28366633,0.97077"	"oxetane,0.96845"	"ryuvidine,0.95727"	"CCCP,0.95519"	"KUC111774N,0.95222"	"VU-0418946-1,0.95101"	"penfluridol,0.94681"	"BRD-K19166598,0.94591"	"cercosporin,0.94479"	"SU-11652,0.94072"	"rhodomyrtoxin-b,0.93781"	"CGP-71683,0.93751"	"BRD-K05153001,0.93662"	"BRD-K78385490,0.93634"	"BRD-K61717269,0.93583"	"IKK-2-inhibitor-V,0.93434"	"nilotinib,0.93175"	"BRD-K77547920,0.93147"	"I-070759,0.93077"	"BRD-K14027855,0.93038"
VAMP7	"WZ-3146,0.96771"	"PP-110,0.94314"	"afatinib,0.94257"	"palbociclib,0.94162"	"MK-1775,0.932"	"NSC-632839,0.92976"	"homoharringtonine,0.92734"	"avicin-g,0.92662"	"tamoxifen,0.92509"	"SA-25547,0.92378"	"clomifene,0.92347"	"arachidonamide,0.92245"	"cephaeline,0.92011"	"emetine,0.91878"	"BIBR-1532,0.91759"	"danusertib,0.91691"	"BRD-K77547920,0.91491"	"erythrosine,0.91472"	"NVP-AUY922,0.91414"	"TGX-115,0.91288"
VAPB	"quiflapon,0.93108"	"NNC-55-0396,0.91562"	"RO-28-1675,0.91045"	"ingenol,0.89094"	"parthenolide,0.88927"	"mifepristone,0.88057"	"HG-5-113-01,0.8771"	"BRD-K80786583,0.86539"	"SSR-69071,0.86434"	"BO2-inhibits-RAD51,0.85894"	"malonoben,0.85715"	"elesclomol,0.85582"	"AG-957,0.84544"	"CGK-733,0.82876"	"manumycin-a,0.82312"	"chaetocin,0.81135"	"BIBU-1361,0.80781"	"valdecoxib,0.80752"	"BRD-K19181733,0.80212"	"MK-2206,0.79988"
VARS	"wortmannin,0.95882"	"wortmannin,0.9581"	"KU-0063794,0.93837"	"BRD-K58288048,0.92796"	"VU-0410183-2,0.92511"	"blebbistatin,0.91343"	"amodiaquine,0.90894"	"malonoben,0.90587"	"FCCP,0.9019"	"midostaurin,0.89548"	"CCCP,0.89309"	"mevastatin,0.89303"	"selamectin,0.89089"	"PP-1,0.89028"	"VU-0418946-1,0.89018"	"AZD-8055,0.88928"	"VU-0418933-1,0.8884"	"ingenol,0.888"	"BRD-K08307026,0.88358"	"belinostat,0.88226"
VAT1	"wortmannin,0.96147"	"VU-0418939-2,0.95439"	"BRD-K08307026,0.95147"	"VU-0410183-2,0.95107"	"TGX-115,0.933"	"GSK-1059615,0.93044"	"BRD-K61717269,0.92934"	"BRD-K60870698,0.92805"	"BRD-K78385490,0.92664"	"BG-FA-0953,0.92102"	"VU-0418933-1,0.91727"	"penfluridol,0.91345"	"BRD-K95196255,0.9132"	"VU-0418934-2,0.91162"	"WYE-125132,0.91152"	"CI-976,0.90837"	"SA-1478088,0.90631"	"1,2-dichlorobenzene,0.90357"	"RO-28-1675,0.90243"	"ZK-164015,0.90243"
VAV3	"alda-1,0.96356"	"BRD-K92980438,0.95802"	"NF-449,0.95294"	"AICA-ribonucleotide,0.95021"	"rilmenidine,0.94153"	"entecavir,0.93492"	"BRD-K19922318,0.93048"	"BMS-191011,0.9303"	"PT-630,0.92887"	"loxapine,0.92872"	"oligomycin-a,0.92726"	"resveratrol,0.92652"	"BRD-A47714657,0.92107"	"carbamazepine,0.91721"	"zileuton,0.91457"	"FK-866,0.91267"	"phenothiazine,0.91115"	"glibenclamide,0.91095"	"genistein,0.9105"	"rolipram,0.91043"
VCAN	"erastin,0.94507"	"afatinib,0.93685"	"BRD-K28100108,0.93324"	"AS-605240,0.92368"	"fludarabine,0.92055"	"BRD-K31706415,0.91929"	"BRD-A09984573,0.91909"	"BRD-K00910650,0.91285"	"BRD-K74623475,0.91016"	"SA-425500,0.91012"	"HG-5-88-01,0.90586"	"PD-98059,0.90452"	"SB-203580,0.89982"	"PD-184352,0.89765"	"ZM-336372,0.89473"	"AS-703026,0.88952"	"BRD-K59470558,0.88841"	"BRD-K09460252,0.88787"	"entinostat,0.88781"	"BRD-A68061604,0.88758"
VCP	"BRD-K31706415,0.97716"	"cyclosporin-a,0.97688"	"BRD-K08448573,0.97592"	"tunicamycin,0.97535"	"cyclopiazonic-acid,0.97496"	"I-070759,0.97169"	"CGK-733,0.97137"	"SA-792728,0.97003"	"BRD-K05153001,0.9698"	"rottlerin,0.96977"	"BRD-K78385490,0.96913"	"RO-28-1675,0.9691"	"thapsigargin,0.96705"	"AG-592,0.9664"	"VU-0418946-1,0.96186"	"EMF-bca1-16,0.96177"	"BRD-K37940862,0.9601"	"MLN-2238,0.95896"	"KU-C104337,0.95781"	"tyrphostin-AG-1478,0.95724"
VDAC1	"BRD-K80786583,0.98817"	"cucurbitacin-i,0.97337"	"NSC-632839,0.96107"	"BRD-K28366633,0.95867"	"NSC-632839,0.95758"	"penfluridol,0.95669"	"BNTX,0.95392"	"cercosporin,0.94475"	"BRD-K41925105,0.94304"	"IKK-2-inhibitor-V,0.94297"	"15-delta-prostaglandin-j2,0.94245"	"BRD-K77547920,0.94131"	"BRD-K49010888,0.93595"	"AG-592,0.93485"	"CD-437,0.93357"	"BRD-K92317137,0.93238"	"manumycin-a,0.9299"	"MLN-2238,0.92908"	"niclosamide,0.92516"	"tosedostat,0.92506"
VDR	"afatinib,0.96001"	"ouabain,0.95237"	"BRD-K68588778,0.94925"	"ispinesib,0.94681"	"BRD-K62459624,0.93539"	"wortmannin,0.9352"	"PI-828,0.93321"	"CD-1530,0.93062"	"BRD-U86222656,0.92872"	"CDC,0.91531"	"CP466722,0.91186"	"cortisone,0.91179"	"amsacrine,0.90835"	"BRD-K37413063,0.90726"	"mevastatin,0.905"	"dihydro-7-desacetyldeoxygedunin,0.90262"	"PP-110,0.90112"	"methylene-blue,0.89838"	"BRD-A18725729,0.89032"	"cercosporin,0.88668"
VEGFA	"BRD-K59036917,0.9474"	"remacemide,0.93119"	"sulforaphane,0.92256"	"KIN001-127,0.92064"	"alda-1,0.91843"	"BRD-K24346336,0.91798"	"BRD-K23149109,0.91319"	"ON-01910,0.91293"	"LFM-A13,0.91149"	"protein-tyrosine-phosphatase-inhibitor-IV,0.91079"	"BRD-K39187410,0.90976"	"BRD-K33926001,0.90706"	"clonidine,0.90399"	"BRD-K70161581,0.90282"	"WY-01-045,0.89558"	"BRD-A09984573,0.89008"	"BRD-K28680267,0.88817"	"M-3M3FBS,0.88637"	"rilmenidine,0.8862"	"BRD-A61825514,0.88328"
VEGFB	"VU-0418934-2,0.96621"	"dasatinib,0.9634"	"BRD-A24021119,0.95685"	"BRD-K08307026,0.95624"	"VU-0418946-1,0.95297"	"VU-0410183-2,0.95219"	"BRD-K61717269,0.95205"	"BRD-K72615639,0.95107"	"wortmannin,0.94254"	"BRD-K78385490,0.94013"	"VU-0418933-1,0.93845"	"VU-0418947-2,0.93754"	"VU-0418939-2,0.93694"	"wortmannin,0.93495"	"TW-37,0.93369"	"BRD-A50388635,0.92812"	"BRD-A81530502,0.92754"	"cytochalasin-b,0.92609"	"PAC-1,0.91888"	"WAY-170523,0.91499"
VEGFC	"orantinib,0.96881"	"SB-525334,0.96301"	"STO-609,0.96171"	"AICA-ribonucleotide,0.95723"	"LFM-A13,0.94957"	"prostaglandin-a1,0.94731"	"RLM-2-12,0.93531"	"IKK-inhibitor-X,0.93332"	"BRD-K61053657,0.92979"	"oligomycin-a,0.92883"	"AS-605240,0.92556"	"calpeptin,0.9255"	"sulfafurazole,0.92453"	"XAV-939,0.92392"	"aminomethyltransferase,0.92326"	"valyltryptophan,0.92255"	"H-8,0.92143"	"AC-55649,0.91677"	"RHO-kinase-inhibitor-III[rockout],0.91663"	"nifedipine,0.91651"
VGLL4	"BRD-K19499941,0.84244"	"BRD-K62459624,0.8292"	"BRD-K56411643,0.80129"	"BI-2536,0.78124"	"BRD-K68313733,0.77185"	"BRD-K59019422,0.72033"	"everolimus,0.71754"	"BRD-K48576794,0.70604"	"BRD-K76938712,0.69892"	"GSK-0660,0.68251"	"MD-II-008-P,0.68105"	"BRD-K35832492,0.677"	"BRD-K21064560,0.6623"	"trichostatin-a,0.66181"	"BRD-U86222656,0.66121"	"salermide,0.65171"	"dacinostat,0.63387"	"diclofenac,0.63373"	"AVA,0.63292"	"wortmannin,0.62774"
VHL	"5-iodotubercidin,0.95737"	"everolimus,0.95377"	"BRD-K05649647,0.94609"	"PAC-1,0.94158"	"BRD-K52321331,0.93272"	"VU-0418939-2,0.92916"	"flunisolide,0.9239"	"TW-37,0.92314"	"BRD-K85275009,0.92217"	"oxetane,0.91878"	"rimcazole,0.91716"	"acyclovir,0.91465"	"VU-0418946-1,0.91408"	"JNJ-7706621,0.91359"	"BRD-U86222656,0.91075"	"hydrocortisone,0.90684"	"staurosporine,0.90681"	"thiothixene,0.90445"	"fluphenazine,0.89978"	"BRD-K78062244,0.89811"
VIM	"oxetane,0.98878"	"avicin-g,0.96823"	"cucurbitacin-i,0.94897"	"dactinomycin,0.94807"	"staurosporine,0.94511"	"BRD-K61718261,0.93927"	"malonoben,0.93798"	"rottlerin,0.93596"	"BRD-K94991378,0.93465"	"BRD-U86222656,0.93085"	"JLK-6,0.92936"	"FCCP,0.92669"	"BRD-K83670234,0.92645"	"BRD-K62459624,0.92527"	"BRD-K09661167,0.91878"	"AZD-7762,0.91712"	"K784-3188,0.91642"	"panobinostat,0.91228"	"IKK-2-inhibitor-V,0.91082"	"phorbol-12-myristate-13-acetate,0.90862"
VIPR1	"U0126,0.97266"	"MEK1-2-inhibitor,0.97159"	"U-0126,0.96804"	"PD-0325901,0.96337"	"BRD-K48296029,0.9485"	"U-0126,0.93978"	"HG-6-64-01,0.93615"	"PD-98059,0.92873"	"BRD-K28083085,0.92842"	"AZD-7762,0.92836"	"BRD-K24346336,0.92759"	"BRD-K55116708,0.92453"	"AT-7519,0.91869"	"VAMA-37,0.91759"	"BRD-K95760042,0.91475"	"BRD-K61001510,0.91109"	"ERK-inhibitor-11E,0.91095"	"MD-II-008-P,0.9089"	"valdecoxib,0.90804"	"PP-110,0.9066"
VKORC1	"BRD-K01621458,0.94576"	"entinostat,0.93574"	"PP-30,0.93081"	"BRD-A16820783,0.91923"	"AZD-7762,0.90812"	"HDAC3-selective,0.9059"	"LY-2183240,0.9012"	"curcumin,0.89336"	"KU-0063794,0.89297"	"toremifene,0.89219"	"alvocidib,0.89213"	"CHEMBL-1222381,0.89185"	"PP-1,0.88798"	"BRD-K37043259,0.88478"	"BRD-K89009594,0.88317"	"PNU-74654,0.88238"	"calcipotriol,0.88133"	"staurosporine,0.88011"	"calcitriol,0.87115"	"PIK-75,0.86803"
VN1R2	"SEW-05685,0.94772"	"BG-FA-0953,0.9245"	"H-8,0.9216"	"BRD-K61001510,0.9137"	"AS-605240,0.9112"	"LFM-A13,0.90869"	"BRD-A30083233,0.90113"	"trifluoperazine,0.88908"	"STO-609,0.88375"	"sirolimus,0.88284"	"rhamnetin,0.87742"	"thiotepa,0.87661"	"camptothecin,0.87355"	"PD-98059,0.87063"	"BRD-K88278225,0.86763"	"cytosporone-b,0.86498"	"BRD-K78062244,0.86463"	"diethylstilbestrol,0.86448"	"tipifarnib,0.86325"	"BRD-K76236182,0.86236"
VN1R4	"BRD-K61001510,0.9697"	"VX-702,0.94934"	"alda-1,0.93362"	"BRD-K58347372,0.93302"	"ouabain,0.92792"	"olaparib,0.92447"	"cilostamide,0.92133"	"homoharringtonine,0.91884"	"androstanol,0.91859"	"gemfibrozil,0.91736"	"orantinib,0.91582"	"QS-11,0.91169"	"TWS-119,0.90806"	"NSC-693868,0.90618"	"cymarin,0.90179"	"reversine,0.9016"	"aloisine,0.89995"	"sirolimus,0.89933"	"prostaglandin-a1,0.8946"	"benzohydroxamic-acid,0.89299"
VN1R5	"BRD-K72381041,0.93863"	"IWR-1-ENDO,0.93355"	"AICA-ribonucleotide,0.92388"	"BMS-641988,0.92137"	"orantinib,0.91782"	"temozolomide,0.91558"	"ZM-323881,0.91122"	"BRD-K85051645,0.90873"	"AC-55649,0.90133"	"alda-1,0.89917"	"BRD-A96272097,0.89179"	"quinine,0.89158"	"lenalidomide,0.88881"	"SB-525334,0.88792"	"VX-745,0.88294"	"glibenclamide,0.8817"	"naproxol,0.88089"	"3-amino-benzamide,0.87837"	"XAV-939,0.87802"	"BRD-K28112517,0.87613"
VPS26A	"lovastatin,0.87161"	"atorvastatin,0.83917"	"selumetinib,0.83361"	"RS-17053,0.83138"	"AZD-8055,0.8303"	"terfenadine,0.82301"	"MK-2206,0.81386"	"linopirdine,0.81335"	"lylamine,0.79158"	"wortmannin,0.78988"	"PI-103,0.78779"	"BAX-channel-blocker,0.78604"	"niguldipine,0.78003"	"tamoxifen,0.76868"	"BRD-A68061604,0.76029"	"fluphenazine,0.75781"	"wortmannin,0.75767"	"aminopurvalanol-a,0.74989"	"PP-110,0.74939"	"BRD-K90999434,0.73794"
VPS28	"BRD-K80786583,0.99337"	"BRD-K92317137,0.98958"	"BRD-A18411371,0.97964"	"phorbol-12-myristate-13-acetate,0.97909"	"BRD-K78062244,0.97553"	"BRD-K60870698,0.97433"	"BRD-K78385490,0.97372"	"VU-0418946-1,0.97262"	"BRD-K19499941,0.97116"	"lylamine,0.97015"	"VU-0418939-2,0.9679"	"BRD-K81795824,0.96646"	"BRD-A47816767,0.96599"	"MG-132,0.96539"	"BRD-U86222656,0.96497"	"VU-0418947-2,0.96393"	"BRD-K58214070,0.96276"	"BRD-K72615639,0.96099"	"tegaserod,0.9599"	"VU-0410183-2,0.95947"
VPS72	"CYT-997,0.98213"	"SB-225002,0.94528"	"vinblastine,0.94195"	"PX-12,0.92568"	"SA-1478088,0.9216"	"BRD-K60870698,0.91571"	"T-0901317,0.91258"	"ABT-751,0.90852"	"LY-2183240,0.90706"	"vinblastine,0.90308"	"vincristine,0.90233"	"SA-792574,0.90058"	"oxetane,0.8991"	"BRD-K62459624,0.89573"	"nocodazole,0.89532"	"SA-247615,0.8872"	"SA-63133,0.88702"	"MLN-2238,0.88698"	"KF-38789,0.88623"	"JLK-6,0.87899"
VPS8	"BRD-K61001510,0.94528"	"BRD-K21064560,0.94414"	"BRD-A18725729,0.92936"	"BRD-A37735495,0.92475"	"BRD-A18411371,0.92107"	"CGP-60474,0.92044"	"nisoldipine,0.91918"	"BRD-U86222656,0.91784"	"neratinib,0.91332"	"lovastatin,0.91269"	"ouabain,0.91248"	"alvocidib,0.91135"	"amodiaquine,0.91133"	"BRD-K78062244,0.9069"	"AT-7519,0.9021"	"WZ-3146,0.89897"	"BRD-K62459624,0.89879"	"BRD-K18163752,0.8982"	"niguldipine,0.89665"	"pirarubicin,0.89428"
